,year,month,day,Max_tmp,Min_tmp,Cloud,TRainfall(mm),WindDirect,WindSpeed
0,2017,1,1,20.8,18.4,72,-,60,34.2
1,2017,1,2,23.3,18.4,28,-,70,17.7
2,2017,1,3,21.3,18.9,56,-,70,26.1
3,2017,1,4,21.7,18.7,51,-,70,27.7
4,2017,1,5,23.4,18.9,61,-,40,14.3
5,2017,1,6,25,19.7,43,-,40,20
6,2017,1,7,22.8,19.7,68,-,60,20.8
7,2017,1,8,25.5,20.5,50,-,30,6.8
8,2017,1,9,21.8,19.7,66,-,70,23.3
9,2017,1,10,20.5,18.8,72,-,70,36.6
10,2017,1,11,19.7,18.2,86,-,70,37.8
11,2017,1,12,20.3,16.9,93,Trace,70,28
12,2017,1,13,17.1,15.1,88,0.5,10,22.9
13,2017,1,14,16.5,14.5,92,1,50,29.8
14,2017,1,15,16.8,14.3,100,1.5,20,29.3
15,2017,1,16,17.4,14.7,93,0.4,70,35.5
16,2017,1,17,19.2,16.7,88,-,70,37.3
17,2017,1,18,20,18,88,Trace,60,24.2
18,2017,1,19,24.1,18.7,76,-,60,12.8
19,2017,1,20,20.6,16.2,51,Trace,10,26.9
20,2017,1,21,19,14.6,35,-,20,20.2
21,2017,1,22,19.8,13.6,9,-,20,18.8
22,2017,1,23,19.4,15.2,61,-,70,33
23,2017,1,24,18.9,15.7,79,-,70,43
24,2017,1,25,20.9,15.9,42,-,70,30.7
25,2017,1,26,19.8,16.2,45,-,80,27.4
26,2017,1,27,21.3,14.4,13,-,60,18.8
27,2017,1,28,18.8,16.4,78,0.3,60,30.4
28,2017,1,29,21.5,18.1,88,2.4,50,28.2
29,2017,1,30,23.4,17.4,88,1.2,40,22.8
30,2017,1,31,17.6,15.9,88,0.5,70,34.3
31,2017,2,1,22,16.6,80,Trace,60,23.9
32,2017,2,2,17.7,16.2,86,Trace,80,43
33,2017,2,3,19.6,15.4,87,-,70,31.4
34,2017,2,4,20.9,16.3,72,1.6,60,22.2
35,2017,2,5,22,16.7,67,3.3,20,11
36,2017,2,6,19.7,16.9,80,Trace,70,38.5
37,2017,2,7,18.7,15.9,83,-,70,47.2
38,2017,2,8,20.6,15.5,88,Trace,60,29.7
39,2017,2,9,16.8,11.1,72,Trace,10,39.9
40,2017,2,10,15.6,10.8,88,-,10,27.9
41,2017,2,11,17.9,11.5,32,-,10,22.7
42,2017,2,12,19.1,12.5,6,-,60,20.8
43,2017,2,13,20.1,13.1,9,-,60,30.3
44,2017,2,14,21.1,15.6,34,-,60,35.3
45,2017,2,15,20.9,15.3,20,-,60,28.3
46,2017,2,16,24,15.4,11,-,40,16.3
47,2017,2,17,25.4,17.1,39,-,30,10.5
48,2017,2,18,24.1,18,33,-,50,19.2
49,2017,2,19,19.1,16.4,88,0.3,60,30
50,2017,2,20,25.5,18.3,72,Trace,30,12.8
51,2017,2,21,21.1,16.6,90,4.6,60,35.5
52,2017,2,22,21.3,16.4,89,8,40,18.5
53,2017,2,23,20.2,15,95,Trace,20,18.8
54,2017,2,24,15.1,12,88,Trace,10,27.9
55,2017,2,25,13.8,10.7,89,0.7,10,22.4
56,2017,2,26,17,10.6,88,1.4,360,21.7
57,2017,2,27,19.8,15.4,77,-,70,33.6
58,2017,2,28,20.8,15.1,51,-,60,29.3
59,2017,3,1,22.9,15.9,72,-,20,11.3
60,2017,3,2,23.9,17.2,12,-,10,25.5
61,2017,3,3,20.1,15.7,43,-,80,32.8
62,2017,3,4,21.8,16.8,76,-,50,23.4
63,2017,3,5,24,18.7,80,-,40,15.9
64,2017,3,6,23.5,17.9,76,Trace,80,17.3
65,2017,3,7,20.7,17.1,87,Trace,80,37.8
66,2017,3,8,17.3,15,89,2.8,70,28.5
67,2017,3,9,19.6,16,88,Trace,70,35.2
68,2017,3,10,19.2,16.4,89,Trace,50,24.3
69,2017,3,11,18.4,16.7,91,Trace,60,31.7
70,2017,3,12,19.5,17,92,1,50,27
71,2017,3,13,24.4,19.4,86,-,40,11.9
72,2017,3,14,22,16.8,93,8.5,80,31
73,2017,3,15,17.9,16.2,88,Trace,80,44.4
74,2017,3,16,19,16.8,88,Trace,70,30.9
75,2017,3,17,20.4,17,88,Trace,60,34.4
76,2017,3,18,20.1,17.4,91,0.3,60,29
77,2017,3,19,20.6,18.9,99,10.7,50,28.5
78,2017,3,20,27.1,18.6,61,Trace,60,16.4
79,2017,3,21,27.6,19.1,69,0.6,70,19.5
80,2017,3,22,19.7,17.6,88,0.9,80,34.3
81,2017,3,23,24.6,19,83,-,50,16.3
82,2017,3,24,22.4,18.9,85,Trace,50,28.5
83,2017,3,25,23.4,16.5,82,Trace,20,23.1
84,2017,3,26,16.9,13.8,86,1,10,31.6
85,2017,3,27,21.5,16.3,73,-,60,30.1
86,2017,3,28,24.9,18.1,60,-,60,27.6
87,2017,3,29,23.7,20.4,88,0.3,60,27.7
88,2017,3,30,23.1,21,88,Trace,50,22.5
89,2017,3,31,23.7,15.5,85,21.9,10,23.9
90,2017,4,1,23.9,15.5,35,0.2,10,24.1
91,2017,4,2,24.2,17,17,-,90,30.8
92,2017,4,3,24.5,17.5,22,-,80,34
93,2017,4,4,26,19.3,51,-,80,31.4
94,2017,4,5,27.9,20.9,80,-,50,22
95,2017,4,6,25,22.5,86,0.3,50,17.3
96,2017,4,7,27.9,22.6,63,-,140,6.8
97,2017,4,8,27.5,23,62,-,50,6.8
98,2017,4,9,27.9,23.5,77,-,190,12
99,2017,4,10,28.1,26.3,87,Trace,200,27.7
100,2017,4,11,27.8,22.2,89,0.6,210,17
101,2017,4,12,22.8,18.2,88,21.5,20,26.3
102,2017,4,13,21.5,18.8,86,Trace,40,22.8
103,2017,4,14,24.7,19.9,81,-,80,17.5
104,2017,4,15,26.9,21.6,84,-,40,12.2
105,2017,4,16,30.2,23,58,Trace,70,12.5
106,2017,4,17,29.4,23.7,61,Trace,220,15.7
107,2017,4,18,30.7,23.9,48,-,250,23.5
108,2017,4,19,29.4,24.7,49,-,250,19.5
109,2017,4,20,27.5,25.1,84,3.1,170,17.4
110,2017,4,21,29.4,22.8,90,7.8,180,25.2
111,2017,4,22,24.5,18.5,90,6.6,10,26.1
112,2017,4,23,21.8,19.9,88,1.4,70,23.7
113,2017,4,24,22.8,20.9,88,Trace,70,32.4
114,2017,4,25,22.9,20.7,89,10.9,80,25.2
115,2017,4,26,26.8,22.4,89,2.9,50,12.7
116,2017,4,27,24,20.6,89,3.5,10,26.9
117,2017,4,28,24.8,20.2,67,-,90,17.7
118,2017,4,29,27.3,19.9,35,-,160,9.6
119,2017,4,30,28.2,21.4,25,-,120,7.3
120,2017,5,1,29.5,22.6,58,-,90,11.2
121,2017,5,2,28.1,24.3,83,-,130,8.1
122,2017,5,3,31.3,25.6,79,Trace,130,12.2
123,2017,5,4,27.6,22.9,84,42.5,150,12.8
124,2017,5,5,29.8,23.4,59,-,170,5.1
125,2017,5,6,31.1,25.3,65,Trace,100,10.1
126,2017,5,7,27.7,24.8,82,1.8,90,28.4
127,2017,5,8,28.6,23.1,87,9.2,90,19.5
128,2017,5,9,29.3,22.6,77,10.8,310,6.1
129,2017,5,10,29.6,25.3,84,-,90,7
130,2017,5,11,31.6,25.7,77,-,80,15.1
131,2017,5,12,30.7,26,86,Trace,120,11.8
132,2017,5,13,26.6,24.5,85,4.7,300,6.2
133,2017,5,14,29.5,24.8,76,Trace,140,10.8
134,2017,5,15,27,24.6,86,38.5,160,17.6
135,2017,5,16,26.6,23.6,84,3,10,21.9
136,2017,5,17,29.9,23.8,76,-,80,14.9
137,2017,5,18,27.4,24.3,86,0.1,80,36
138,2017,5,19,26,23.7,88,0.7,70,36.3
139,2017,5,20,24.8,22.7,88,0.3,70,31.5
140,2017,5,21,24.9,23,88,4.4,80,38.4
141,2017,5,22,25.2,23.8,88,5.6,90,34
142,2017,5,23,28.5,24.6,86,4.1,100,15.9
143,2017,5,24,26.2,24.2,92,273.6,350,15.3
144,2017,5,25,28.5,23.9,84,-,360,18.9
145,2017,5,26,26.8,23.9,72,-,40,17.8
146,2017,5,27,30.4,24,56,Trace,80,23.9
147,2017,5,28,30.5,24.8,43,-,90,27.7
148,2017,5,29,30.3,24.9,48,-,80,31.4
149,2017,5,30,30.9,25.1,70,Trace,80,18.5
150,2017,5,31,31.3,25.6,69,-,220,12
151,2017,6,1,30.6,27.8,88,Trace,240,37.8
152,2017,6,2,30.6,28.6,88,Trace,240,36.1
153,2017,6,3,32.5,28.5,84,-,240,30.5
154,2017,6,4,31.2,29.3,88,Trace,210,22.9
155,2017,6,5,33.5,28.8,67,Trace,160,21.3
156,2017,6,6,33.8,28.5,59,Trace,150,19.4
157,2017,6,7,34,27.2,50,4.3,150,14.6
158,2017,6,8,32.5,28.3,63,-,120,15.4
159,2017,6,9,31.9,28.1,81,1.1,120,20.6
160,2017,6,10,33.8,28,77,Trace,150,16.1
161,2017,6,11,34.1,28.1,47,Trace,130,10.8
162,2017,6,12,30,25.3,80,37.7,80,53.5
163,2017,6,13,28.9,24.3,91,219.4,240,32
164,2017,6,14,29.5,25.5,88,15.6,210,19.8
165,2017,6,15,31.1,26.8,88,14.5,230,31.3
166,2017,6,16,29.6,27.8,88,13.5,230,40.3
167,2017,6,17,28.4,24.4,93,138,230,19.8
168,2017,6,18,27.3,24.7,91,24.2,250,16.2
169,2017,6,19,28.3,25.3,86,32.6,260,11.7
170,2017,6,20,28.2,25.2,88,24.8,240,13.9
171,2017,6,21,29.2,25.2,89,95.9,210,27.6
172,2017,6,22,32.4,28,80,Trace,210,22.4
173,2017,6,23,31.6,27.5,80,10.5,180,19.5
174,2017,6,24,30.8,26.4,79,18.3,190,23
175,2017,6,25,31.5,26.8,81,4.2,240,25.6
176,2017,6,26,32,28.6,85,0.1,230,28.1
177,2017,6,27,31.5,28.6,83,1.3,230,24.8
178,2017,6,28,32.3,28.2,58,-,240,18.3
179,2017,6,29,32.8,27.9,62,-,230,9.5
180,2017,6,30,33.7,27.6,64,-,150,7.9
181,2017,7,1,31.7,26.7,82,7.4,210,18.6
182,2017,7,2,30.3,26.2,88,8.8,210,25.8
183,2017,7,3,30.7,26.7,87,8.4,200,22.8
184,2017,7,4,28.6,25.3,84,32.3,40,15.3
185,2017,7,5,31,26.5,85,27.5,80,25.3
186,2017,7,6,28.7,25.8,88,16.3,130,24.9
187,2017,7,7,29.8,26,88,35.8,200,23.9
188,2017,7,8,28.9,26.3,88,12.8,170,20.4
189,2017,7,9,32.3,27.1,77,1.2,190,19.1
190,2017,7,10,32.1,27.5,83,0.6,190,14.6
191,2017,7,11,32.7,27.6,68,-,130,12.5
192,2017,7,12,32.9,27.9,76,Trace,110,12.1
193,2017,7,13,33.5,28.2,67,Trace,100,14.9
194,2017,7,14,32.8,27.4,72,2.3,100,21.1
195,2017,7,15,32.1,27,82,8.8,90,26.8
196,2017,7,16,28.5,26.1,88,21,100,32.8
197,2017,7,17,28.8,24.4,88,184.6,80,32.1
198,2017,7,18,27.8,24.6,91,134.3,120,25.6
199,2017,7,19,30.8,24.5,84,12.6,90,17
200,2017,7,20,30.8,27.2,88,2,80,25
201,2017,7,21,32.2,27.6,79,0.2,80,29.7
202,2017,7,22,33.1,26.5,75,3.3,80,20
203,2017,7,23,28.8,25.6,86,46.5,10,26
204,2017,7,24,31.2,25.8,74,3.3,90,19.9
205,2017,7,25,33.1,27.7,55,Trace,100,15
206,2017,7,26,34.4,27.1,60,-,80,10.8
207,2017,7,27,30.6,28,80,Trace,80,28.6
208,2017,7,28,34.4,28.1,57,-,60,23.2
209,2017,7,29,33.8,28.8,69,-,270,17.8
210,2017,7,30,34.8,29.6,69,-,300,24.3
211,2017,7,31,32.4,29.8,83,-,250,38.8
212,2017,8,1,33.2,28.3,88,5.9,230,30.7
213,2017,8,2,31,27.3,88,14.8,230,15.5
214,2017,8,3,29.8,25.3,90,66.7,70,6.2
215,2017,8,4,29.3,25.9,79,19.3,240,11.2
216,2017,8,5,34,27.1,46,0.9,160,7.1
217,2017,8,6,32.9,28.5,61,-,240,19.1
218,2017,8,7,33,27.3,66,6.9,240,24.6
219,2017,8,8,32.8,28.4,74,1.9,240,33.1
220,2017,8,9,31,26.3,85,14.3,240,35.4
221,2017,8,10,31.4,27.6,88,11.1,230,30.5
222,2017,8,11,31.6,28.9,82,3.5,220,23.2
223,2017,8,12,32.5,29,72,-,230,24.7
224,2017,8,13,32.4,28.6,59,-,230,22.5
225,2017,8,14,32.5,28.8,58,Trace,240,23.6
226,2017,8,15,32.9,28.1,66,0.2,240,17.6
227,2017,8,16,31.2,28.2,81,Trace,250,9.4
228,2017,8,17,33,27.9,71,-,220,6.4
229,2017,8,18,34.3,28.1,60,-,130,6.5
230,2017,8,19,34,28.4,61,-,30,7.7
231,2017,8,20,33.4,28.5,29,-,250,13.6
232,2017,8,21,34.5,28.6,42,-,260,19.2
233,2017,8,22,36.6,28,74,2,20,14.9
234,2017,8,23,29.5,25.4,93,67.1,160,59.7
235,2017,8,24,31.5,27.3,85,Trace,110,23.6
236,2017,8,25,32.7,27.8,81,0.1,60,18.6
237,2017,8,26,34.3,26.2,65,6.3,60,28.3
238,2017,8,27,26.9,24,89,165.3,160,62
239,2017,8,28,26.3,24.5,90,98.3,140,17.1
240,2017,8,29,31.4,24.6,34,-,20,11.8
241,2017,8,30,31.6,27,49,0.4,240,9.9
242,2017,8,31,32.8,26.2,80,4.1,350,6.7
243,2017,9,1,31.7,26.1,85,6.5,290,10.3
244,2017,9,2,30.4,26.4,88,1,270,10.5
245,2017,9,3,29.9,25.6,88,23.8,270,24.7
246,2017,9,4,27.6,25.3,90,32.8,240,38.8
247,2017,9,5,30.7,25.9,83,6.4,180,12.2
248,2017,9,6,32.3,27.3,82,Trace,190,7.2
249,2017,9,7,30.7,27.5,86,1.8,280,5.2
250,2017,9,8,30.9,26.9,64,1.1,180,9.9
251,2017,9,9,32,26,77,25.8,160,10.5
252,2017,9,10,32.2,26.7,68,Trace,190,10.5
253,2017,9,11,32.4,27.6,30,-,200,9.3
254,2017,9,12,32.8,27.9,51,0.6,50,7.8
255,2017,9,13,34,28.3,71,-,70,33.3
256,2017,9,14,31.5,27.6,76,-,70,36
257,2017,9,15,33.2,27.8,76,Trace,70,15.2
258,2017,9,16,32.6,27.7,52,-,260,15.3
259,2017,9,17,32.6,28.5,36,-,270,9.8
260,2017,9,18,32.9,27.8,30,-,90,14.5
261,2017,9,19,32.2,27.6,39,-,90,16.1
262,2017,9,20,32,27.6,73,0.2,90,15
263,2017,9,21,32,27.9,70,Trace,80,13.2
264,2017,9,22,32,26.1,72,17.9,80,24.2
265,2017,9,23,31.4,26.7,75,33.4,80,30.3
266,2017,9,24,30.5,27.1,81,5.6,100,39.8
267,2017,9,25,31.9,27.7,81,0.5,120,26.5
268,2017,9,26,32.9,27.8,41,-,120,9.8
269,2017,9,27,33,27.7,34,-,200,6.2
270,2017,9,28,34.1,28.2,25,-,130,7.7
271,2017,9,29,33.1,28.8,63,Trace,90,21.1
272,2017,9,30,30.3,25.9,72,35,80,34.7
273,2017,10,1,30.1,27.6,80,6.6,90,28.5
274,2017,10,2,32.7,26.4,66,3.6,90,21.6
275,2017,10,3,33.5,28.3,52,-,90,18.3
276,2017,10,4,31,27.5,76,9.5,80,35.7
277,2017,10,5,30.3,27.5,76,Trace,70,38.8
278,2017,10,6,31.1,27.4,83,0.2,70,36.4
279,2017,10,7,31.7,27.9,76,-,70,39.7
280,2017,10,8,31.5,27.3,82,-,70,36.8
281,2017,10,9,30.9,28.1,85,Trace,70,53.3
282,2017,10,10,32.3,28.6,69,Trace,70,38.9
283,2017,10,11,32.5,28.3,43,0.2,70,31.9
284,2017,10,12,32.7,27.6,69,-,80,24.8
285,2017,10,13,30.6,24.5,59,-,360,34.8
286,2017,10,14,25.6,21.9,88,0.4,350,51.5
287,2017,10,15,26.9,20.4,89,20.7,360,65.7
288,2017,10,16,27.5,25.6,88,17.1,70,42.3
289,2017,10,17,27.6,24.7,89,41.3,60,44.6
290,2017,10,18,29.5,24,67,Trace,360,25.2
291,2017,10,19,27.9,23.4,70,-,350,33.5
292,2017,10,20,27.8,22.3,72,-,360,34.4
293,2017,10,21,27.2,21.6,33,-,360,33.3
294,2017,10,22,26.3,20.2,9,-,350,24.7
295,2017,10,23,27.7,20.8,6,-,360,22.5
296,2017,10,24,27.3,22.5,14,-,70,29.1
297,2017,10,25,26.4,22.7,18,Trace,70,32.3
298,2017,10,26,28.1,22.1,18,-,70,15.2
299,2017,10,27,28.6,22.1,40,-,360,10.2
300,2017,10,28,28,22.5,21,-,360,18.5
301,2017,10,29,27,21.7,31,-,360,31.9
302,2017,10,30,25,20.5,55,Trace,360,30.7
303,2017,10,31,25,19,51,Trace,70,31.2
304,2017,11,1,26.4,20.5,29,-,60,26.4
305,2017,11,2,27.8,20.9,22,-,60,19.7
306,2017,11,3,27.6,22,64,-,360,30.2
307,2017,11,4,25.8,20.7,86,0.3,60,35.9
308,2017,11,5,25.6,20.3,78,Trace,70,32.2
309,2017,11,6,25.8,21.3,87,Trace,60,28.3
310,2017,11,7,26,21.8,88,0.3,360,22.4
311,2017,11,8,27.3,23.1,88,Trace,80,25
312,2017,11,9,26.8,22.8,77,Trace,70,40.8
313,2017,11,10,28.4,22.9,56,-,70,27.1
314,2017,11,11,26.5,23.4,89,-,70,37.4
315,2017,11,12,23.5,21.1,93,14.7,70,44.1
316,2017,11,13,22.7,21.5,95,12.5,70,35.9
317,2017,11,14,24,22,88,0.2,70,28.5
318,2017,11,15,23.9,22.6,84,-,60,30.8
319,2017,11,16,26.2,22.2,68,-,60,29
320,2017,11,17,26.2,22.9,42,-,50,13.1
321,2017,11,18,26.5,20.1,60,1.9,360,20.2
322,2017,11,19,20.2,19.4,88,1,60,41.5
323,2017,11,20,20.3,17.9,91,-,360,29.3
324,2017,11,21,21.4,17.5,88,-,10,23
325,2017,11,22,22.9,17.3,60,-,350,26.4
326,2017,11,23,20.3,15.5,47,-,360,34.1
327,2017,11,24,20.8,16.5,86,-,360,28.5
328,2017,11,25,19.1,16.9,88,-,10,21.8
329,2017,11,26,22.4,18.1,73,-,10,13.8
330,2017,11,27,22.1,18.5,84,Trace,50,29.3
331,2017,11,28,24.6,20.6,76,Trace,50,28.1
332,2017,11,29,26.4,21.6,74,-,50,26.4
333,2017,11,30,23.2,21.8,86,0.3,70,34.6
334,2017,12,1,23.2,19.7,74,Trace,360,27
335,2017,12,2,22.9,17.5,65,-,360,23.5
336,2017,12,3,22.9,18.9,52,-,10,15.2
337,2017,12,4,22.3,18,36,-,360,18.4
338,2017,12,5,20.4,17.7,78,-,10,23.3
339,2017,12,6,21.1,17.5,41,-,70,28.2
340,2017,12,7,21.8,17.8,57,-,70,24.6
341,2017,12,8,19.4,15.3,9,-,360,39.4
342,2017,12,9,18,13.3,15,-,80,18.9
343,2017,12,10,20.4,14.9,37,-,10,12.4
344,2017,12,11,21.1,17,57,-,70,28.6
345,2017,12,12,20.6,17.4,83,Trace,70,36.3
346,2017,12,13,19,17.9,89,Trace,70,48.6
347,2017,12,14,21.1,18,84,Trace,70,37.7
348,2017,12,15,21.3,18.5,79,-,70,32.5
349,2017,12,16,19.5,12.2,69,-,360,43.5
350,2017,12,17,14,10.8,81,-,360,39.4
351,2017,12,18,15.8,9.8,23,-,360,32.7
352,2017,12,19,16.5,10.7,40,-,360,38.7
353,2017,12,20,17.8,12.4,29,-,360,36.3
354,2017,12,21,17,12.4,23,-,70,37.5
355,2017,12,22,19.1,14.5,52,-,50,31.8
356,2017,12,23,21.1,17.1,91,-,40,17.4
357,2017,12,24,23.1,18.1,28,-,360,22.8
358,2017,12,25,19.7,16.3,64,-,360,29.1
359,2017,12,26,19.7,16.3,69,-,70,33.8
360,2017,12,27,19.4,16.2,51,-,70,37.1
361,2017,12,28,20.6,17.1,84,Trace,60,29.4
362,2017,12,29,21.5,17.7,46,-,70,21.9
363,2017,12,30,22.6,17.6,44,-,50,23.7
364,2017,12,31,21,15.9,33,Trace,360,27.4
365,2018,1,1,19,16.3,75,-,70,28.4
